"Ore_Studiu","Ore_Somn","Promovare"
"6.5","8.46","1"
"5.86","8.95","1"
"6.65","7.3","1"
"7.52","8.28","1"
"5.77","7.67","1"
"5.77","7.76","1"
"7.58","7.7","1"
"6.77","7.57","1"
"5.53","8.02","1"
"6.54","7.58","1"
"5.54","8.14","1"
"5.53","7.97","1"
"6.24","7.88","1"
"4.09","7.55","1"
"4.28","7.71","1"
"5.44","8.38","1"
"4.99","8.25","1"
"6.31","7.51","1"
"5.09","8.05","1"
"4.59","8.38","1"
"7.47","7.17","1"
"5.77","8.27","1"
"6.07","7.67","1"
"4.58","8.29","1"
"5.46","7.62","1"
"6.11","7.1","1"
"4.85","7.19","1"
"6.38","8.02","1"
"5.4","8.13","1"
"5.71","7.55","1"
"5.4","8.32","1"
"7.85","7.17","1"
"5.99","7.97","1"
"4.94","7.39","1"
"6.82","7.67","1"
"4.78","8.02","1"
"6.21","7.57","1"
"4.04","7.81","1"
"4.67","8.5","1"
"6.2","7.71","1"
"6.74","8.42","1"
"6.17","7.44","1"
"5.88","8.26","1"
"5.7","8.72","1"
"4.52","6.76","1"
"5.28","7.6","1"
"5.54","8.29","1"
"7.06","7.9","1"
"6.34","8.19","1"
"4.24","7.7","1"
"6.32","8.04","1"
"5.61","7.92","1"
"5.32","8.58","1"
"6.61","8.13","1"
"7.03","8.17","1"
"6.93","7.79","1"
"5.16","7.76","1"
"5.69","7.78","1"
"6.33","8.2","1"
"6.98","7.79","1"
"5.52","8.14","1"
"5.81","9.04","1"
"4.89","8.44","1"
"4.8","7.84","1"
"6.81","8.6","1"
"7.36","7.8","1"
"5.93","6.98","1"
"7","7.5","1"
"6.36","7.06","1"
"5.35","7.82","1"
"6.36","8.01","1"
"7.54","8.84","1"
"5.96","8.16","1"
"7.56","7.89","1"
"3.38","8.41","1"
"6.82","6.89","1"
"6.09","8.12","1"
"5.7","8.39","1"
"6.09","7.26","1"
"4.01","8.57","1"
"5.78","8.17","1"
"6.36","7.79","1"
"7.48","8.32","1"
"5.48","9.14","1"
"5.19","8.09","1"
"5.5","8.12","1"
"6.92","7.77","1"
"6.33","7.58","1"
"5.47","8.42","1"
"6.51","7.57","1"
"6.1","8.04","1"
"6.97","7.76","1"
"5.3","8.24","1"
"5.67","8.17","1"
"5.61","8.52","1"
"4.54","7.74","1"
"6.3","7.87","1"
"6.26","7.51","1"
"6.01","7.78","1"
"5.77","8.19","1"
"4.58","8.38","1"
"5.58","7.54","1"
"5.66","8.43","1"
"5.2","8.68","1"
"5.84","8.21","1"
"6.4","8.94","1"
"7.89","7.61","1"
"6.17","7.38","1"
"6.26","7.11","1"
"5.93","8.75","1"
"4.08","8.33","1"
"5.97","7.97","1"
"6.06","8.14","1"
"8.46","7.44","1"
"5.81","9.22","1"
"6.3","8.06","1"
"5.97","8.05","1"
"4.83","8.36","1"
"7.14","8.24","1"
"6.75","8.11","1"
"6.79","7.6","1"
"5.09","8.24","1"
"7.4","8.94","1"
"4.6","8.67","1"
"6.59","8.8","1"
"8.19","7.74","1"
"5.01","7.51","1"
"5.43","7.94","1"
"6.1","8.03","1"
"5.5","8.55","1"
"4.45","7.15","1"
"6.07","8.76","1"
"4.94","7.92","1"
"6.47","7.79","1"
"5.08","7.49","1"
"7.55","7.17","1"
"5.22","8.41","1"
"5.68","8.04","1"
"6.81","7.36","1"
"4.77","7.35","1"
"6.23","7.83","1"
"7.31","8.83","1"
"4.39","7.87","1"
"6.18","7.25","1"
"6.26","7.88","1"
"6.78","7.86","1"
"4.76","6.65","1"
"4.68","7.97","1"
"6.52","7.88","1"
"6.3","8.35","1"
"6.25","8.92","1"
"6.35","8.56","1"
"5.32","7.87","1"
"6.23","7.45","1"
"6.29","9.29","1"
"5.29","8.03","1"
"7.87","8.01","1"
"6.47","7.99","1"
"4.81","8.1","1"
"6.66","7.93","1"
"5.03","7.71","1"
"6.79","7.73","1"
"7.16","7.98","1"
"5.18","7.73","1"
"6.96","7.64","1"
"6.41","8.05","1"
"6.82","7.87","1"
"7.9","8.75","1"
"5.75","6.67","1"
"5.25","8.55","1"
"5.11","8.62","1"
"5.18","6.96","1"
"5.92","7.83","1"
"6.34","7.81","1"
"6.28","7.3","1"
"6.83","7.61","1"
"6.01","7.44","1"
"7.45","8.88","1"
"5.74","8.47","1"
"8.72","8.64","1"
"6.63","8.36","1"
"5.14","7.44","1"
"4.93","7.74","1"
"6.48","8.24","1"
"5.78","7.39","1"
"6.71","8.36","1"
"6.47","7.88","1"
"5.93","7.81","1"
"5.15","8.36","1"
"4.49","8.22","1"
"5.55","7.82","1"
"6.86","8.58","1"
"6.21","7.46","1"
"4.75","8.31","1"
"6.17","8.3","1"
"6.39","7.85","1"
"5.12","8.16","1"
"6.15","7.37","1"
"6.06","8.46","1"
"4.86","7.91","1"
"6.36","7.74","1"
"6.56","8.52","1"
"7.08","7.65","1"
"7.05","7.3","1"
"4.62","7.22","1"
"5.06","8.3","1"
"6.52","7.36","1"
"6.51","8.88","1"
"6.52","6.96","1"
"9.85","8.85","1"
"6.57","8.11","1"
"7.14","7.95","1"
"6.95","7.73","1"
"6.65","8.2","1"
"5.68","7.98","1"
"6.76","8.55","1"
"5.23","8.06","1"
"5.76","8.08","1"
"5.51","7.82","1"
"6.08","7.97","1"
"8.31","8.15","1"
"4.13","7.14","1"
"6.69","7.33","1"
"4.39","8.37","1"
"5.53","8.09","1"
"7.09","7.91","1"
"6.06","8.01","1"
"4.92","8.17","1"
"5.28","7.73","1"
"6.68","7.61","1"
"5.27","8.1","1"
"6.22","7.51","1"
"6.05","8.2","1"
"5.35","7.15","1"
"8.14","8.51","1"
"6.63","8.24","1"
"3.97","8.13","1"
"6.19","8.49","1"
"5.34","8.83","1"
"6.85","8.51","1"
"5.21","7.08","1"
"5.89","7.36","1"
"6.5","7.69","1"
"6.87","8.01","1"
"4.8","8.26","1"
"5.67","7.64","1"
"5.53","8.09","1"
"5.35","7.62","1"
"7.77","7.69","1"
"6.4","7.3","1"
"0.74","4.54","0"
"2.92","4.32","0"
"4.12","4.51","0"
"3.03","5.53","0"
"0.48","4.53","0"
"1.52","6.32","0"
"3.27","5.25","0"
"1.29","5.09","0"
"2.44","4.57","0"
"2.77","5.35","0"
"1.07","4.71","0"
"1.94","5.06","0"
"-1.24","6.28","0"
"0.98","4.95","0"
"1.75","5.57","0"
"0.75","4.65","0"
"3.63","4.98","0"
"0.57","5.89","0"
"1.56","4.69","0"
"2.13","5.91","0"
"3.44","5.35","0"
"0.56","4.72","0"
"3.16","5.32","0"
"2.01","5.49","0"
"1.02","5.31","0"
"2.46","4.21","0"
"2.2","4.64","0"
"1.4","4.88","0"
"2.07","4.96","0"
"1.61","5.31","0"
"2.11","5.09","0"
"2.66","4.33","0"
"3.59","5.19","0"
"0.76","5.31","0"
"4.13","5.28","0"
"0.05","5.54","0"
"1.85","5.42","0"
"2.59","5.23","0"
"2.28","4.96","0"
"1.38","4.17","0"
"1.79","5.21","0"
"1.51","5.1","0"
"1.41","5.14","0"
"2.85","4.36","0"
"2.36","4.46","0"
"1.31","5.53","0"
"2.9","4.98","0"
"2.31","5.34","0"
"2.81","5.01","0"
"2.63","5.01","0"
"1.17","5.47","0"
"1.44","4.74","0"
"2.75","5.05","0"
"2.61","4.77","0"
"1.98","4.78","0"
"2.12","4.85","0"
"3.28","5.11","0"
"1.41","4.76","0"
"2.55","5.63","0"
"1.8","4.55","0"
"1.78","4.91","0"
"3.1","4.78","0"
"2.83","5.72","0"
"2.81","5.1","0"
"3.31","5.52","0"
"2.02","4.26","0"
"2.68","5.13","0"
"1.69","5.44","0"
"2.32","5.04","0"
"1.87","5.53","0"
"2.1","4.74","0"
"2.6","5.7","0"
"1.18","6.15","0"
"4.09","4.82","0"
"0.99","4.78","0"
"0.79","5.73","0"
"3.16","5.79","0"
"2.79","4.74","0"
"2.62","4.79","0"
"2.63","4.86","0"
"1.99","4.33","0"
"1.1","4.54","0"
"2.08","4.5","0"
"1.32","4.62","0"
"2.98","4.98","0"
"1.85","5.12","0"
"1.17","5.78","0"
"1.68","4.5","0"
"2.41","5.49","0"
"1.44","4.89","0"
"1.18","4.98","0"
"2.24","5.34","0"
"2.24","4.44","0"
"1.49","5.19","0"
"1.53","5.08","0"
"2.23","5.25","0"
"0.55","5.14","0"
"0.59","6.23","0"
"1.28","4.68","0"
"1.79","4.73","0"
"2.31","4.69","0"
"3.48","4.72","0"
"2.86","4.68","0"
"1.84","5.59","0"
"1.98","5.71","0"
"1","4.71","0"
"1.98","4.58","0"
"1.71","5.24","0"
"2.32","4.72","0"
"1.17","5.32","0"
"2.52","5.1","0"
"3.53","4.24","0"
"1.89","5.77","0"
"2.4","5.9","0"
"2.69","4.69","0"
"1.6","4.81","0"
"2.22","5.14","0"
"2.01","5.17","0"
"2.1","5.33","0"
"1.23","6.01","0"
"2.02","4.91","0"
"2.5","4.6","0"
"3.45","4.31","0"
"2.96","4.63","0"
"4.15","4.98","0"
"1.23","5.9","0"
"2.87","4.74","0"
"2.18","5.11","0"
"4.19","4.99","0"
"1.19","5.59","0"
"1.16","6.26","0"
"1.4","4.73","0"
"-0.12","4.76","0"
"1.47","5.52","0"
"1.24","5.34","0"
"2.15","5.92","0"
"2.34","5.29","0"
"3.88","4.82","0"
"2.95","5.3","0"
"1.42","5.55","0"
"1.1","5.41","0"
"2.49","5.25","0"
"0.68","5.53","0"
"3.83","5.58","0"
"3.18","5.69","0"
"1.53","5.32","0"
"0.29","4.92","0"
"3.35","5.07","0"
"1.89","5.6","0"
"3.24","4.59","0"
"0.41","5.18","0"
"1.4","4.8","0"
"2.01","5.01","0"
"2.05","5.64","0"
"1.55","5.1","0"
"2.62","5.02","0"
"0.93","4.32","0"
"1.86","5.37","0"
"2.12","5.32","0"
"2.51","6.08","0"
"2.71","4.85","0"
"0.88","5.11","0"
"0.47","5.12","0"
"3.28","5.79","0"
"2.33","4.95","0"
"1.25","5.14","0"
"3.55","5.3","0"
"2.12","5.09","0"
"3.18","4.78","0"
"2.07","5.1","0"
"4.06","5.54","0"
"3.76","4.49","0"
"1.75","5.07","0"
"2.97","4.65","0"
"2.65","5.6","0"
"3.37","4.24","0"
"1.04","4.72","0"
"2.69","5.19","0"
"3.06","5.78","0"
"0.24","4.97","0"
"0.82","4.72","0"
"-0.04","5.94","0"
"1.73","4.28","0"
"2.72","3.9","0"
"3.5","5.22","0"
"2.07","4.75","0"
"3.63","4.49","0"
"0.62","5.35","0"
"0.3","5.12","0"
"1.94","4.72","0"
"2.38","4.36","0"
"1.97","5.44","0"
"-0.07","5.33","0"
"1.91","4.95","0"
"0.7","5.92","0"
"2.67","4.46","0"
"2.37","4.24","0"
"1.06","4.65","0"
"1.49","4.98","0"
"0.94","5.12","0"
"1.94","4.88","0"
"2.96","5.18","0"
"1.01","4.37","0"
"2.5","5.72","0"
"1.47","4.96","0"
"1.21","5.56","0"
"1.89","5.17","0"
"0.96","5.23","0"
"1.45","5.28","0"
"0.8","5.22","0"
"3.96","5.32","0"
"2.04","5.66","0"
"1.3","5.1","0"
"2.21","5.35","0"
"1.89","4.96","0"
"1.78","5.72","0"
"2.61","4.66","0"
"2.76","5.9","0"
"1.47","4.98","0"
"1.42","4.28","0"
"1.72","5.06","0"
"-0.3","4.66","0"
"0.48","5.42","0"
"3.37","4.67","0"
"3.64","4.78","0"
"1.75","4.06","0"
"2.58","4.77","0"
"2.31","3.79","0"
"5.08","4.21","0"
"3.12","5.38","0"
"1.87","5.39","0"
"1.04","5.21","0"
"0.39","4.52","0"
"2.2","4.98","0"
"1.24","5","0"
"0.58","4.42","0"
"1.35","5.75","0"
"0.92","5.44","0"
"3.69","4.89","0"
"2.88","5.01","0"
"1.99","5.1","0"
"3.48","3.98","0"
"2.08","4.88","0"
"1.14","4.66","0"
"3.52","4.5","0"
"2.54","4.86","0"
"0.96","5.9","0"
"1.81","5.32","0"
"1.12","4.71","0"
"0.62","5.29","0"
